,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,Code2Seq Predictions,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Commens-CodeBERT (Person3) ,Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories),Raw_Methods,Ground_Truth
36,"public void deleteAttributeAt(int position) { if ((position < 0) || (position >= m_Attributes.size())) { throw new IllegalArgumentException(""Index out of range""); } if (position == m_ClassIndex) { throw new IllegalArgumentException(""Can't delete class attribute""); } freshAttributeInfo(); if (m_ClassIndex > position) { m_ClassIndex--; } m_Attributes.removeElementAt(position); for (int i = position; i < m_Attributes.size(); i++) { Attribute current = (Attribute)m_Attributes.elementAt(i); current.setIndex(current.index() - 1); } for (int i = 0; i < numInstances(); i++) { instance(i).forceDeleteAttributeAt(position); } }",deletes an attribute at the given position (0 to numattributes() - 1) a deep copy of the attribute information is performed before the attribute is deleted,deletes the attribute at the specified position,deletes the attribute at the given position,removes the attribute at the given index,Missing Non-Critical Information,Missing Non-Critical Information,Missing Non-Critical Information,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent but Missing Specific Info,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent but Missing Specific Info,"public void deleteAttributeAt(int position) {

  if ((position < 0) || (position >= m_Attributes.size())) {
  throw new IllegalArgumentException(""Index out of range"");
  }
  if (position == m_ClassIndex) {
  throw new IllegalArgumentException(""Can't delete class attribute"");
  }
  freshAttributeInfo();
  if (m_ClassIndex > position) {
  m_ClassIndex--;
  }
  m_Attributes.removeElementAt(position);
  for (int i = position; i < m_Attributes.size(); i++) {
  Attribute current = (Attribute)m_Attributes.elementAt(i);
  current.setIndex(current.index() - 1);
  }
  for (int i = 0; i < numInstances(); i++) {
  instance(i).forceDeleteAttributeAt(position); 
  }
  }","/**
  * Deletes an attribute at the given position 
  * (0 to numAttributes() - 1). A deep copy of the attribute
  * information is performed before the attribute is deleted.
  *
  * @param pos the attribute's position
  * @exception IllegalArgumentException if the given index is out of range or the
  * class attribute is being deleted
  */"
37,"public String rawOutputTipText() { return ""Save raw output (useful for debugging). If set, then output is "" +""sent to the destination specified by outputFile""; }",returns the tip text for this property,description of the method,returns the text of the raw output,returns a string representation of the output output,Focusing Only on Method Name ,Consistent with Specific Info ,Consistent but Missing Specific Info,Focusing Only on Method Name ,Partial Incorrect Information,Incorrect Identifier/Attribute,,,,Focusing Only on Method Name ,Consistent with Specific Info ,Consistent but Missing Specific Info,"public String rawOutputTipText() {
  return ""Save raw output (useful for debugging). If set, then output is ""
  +""sent to the destination specified by outputFile"";
  }","/**
  * Returns the tip text for this property
  * @return tip text for this property suitable for
  * displaying in the explorer/experimenter gui
  */"
38,"public String numRulesTipText() { return ""Number of rules to find.""; }",returns the tip text for this property,gets the numrulestiptext attribute of the appletlocale object,returns the number of labels in the rule set,returns the text of the text of the current text,Unnecessary Incorrect Information,Semantically Unrelated to Code,Repetition,Unnecessary Incorrect Information,Semantically Unrelated to Code,Repetition,,,,Unnecessary Incorrect Information,Semantically Unrelated to Code,Repetition,"public String numRulesTipText() {
  return ""Number of rules to find."";
  }","/**
  * Returns the tip text for this property
  * @return tip text for this property suitable for
  * displaying in the explorer/experimenter gui
  */"
39,public void setAdvanceDataSetFirst(boolean newAdvanceDataSetFirst) { m_AdvanceDataSetFirst = newAdvanceDataSetFirst; },set the value of m_advancedatasetfirst,sets the advanced dataset first,set the } value,sets the first row of the first row,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Repetition,Consistent with Specific Info ,Incorrect Identifier/Attribute,Semantically Unrelated to Code,,,,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Semantically Unrelated to Code,"public void setAdvanceDataSetFirst(boolean newAdvanceDataSetFirst) {
  
  m_AdvanceDataSetFirst = newAdvanceDataSetFirst;
  }","/**
  * Set the value of m_AdvanceDataSetFirst.
  *
  * @param newm_AdvanceDataSetFirst Value to assign to m_AdvanceRunFirst.
  */"
40,"private String testPrologComparisonString() { Attribute att = m_Dataset.attribute(m_AttIndex); if (att.isNumeric()) { return ((m_Not ? "">= "" : ""< "") + Utils.doubleToString(m_Split,3)); } else { if (att.numValues() != 2) return ((m_Not ? ""!= "" : ""= "") + att.value((int)m_Split)); else return (""= "" + (m_Not ? att.value((int)m_Split == 0 ? 1 : 0) : att.value((int)m_Split))); } }","gives a string representation of the test in prolog notation, starting from the comparison symbol",test the comparison string,test the prolog of a string,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,,,,Missing Non-Critical Information,Missing Non-Critical Information,0,Consistent but Missing Specific Info,Consistent but Missing Specific Info,0,Missing Non-Critical Information,Consistent but Missing Specific Info,0,"private String testPrologComparisonString() {
  Attribute att = m_Dataset.attribute(m_AttIndex);
  if (att.isNumeric()) {
  return ((m_Not ? "">= "" : ""< "") + Utils.doubleToString(m_Split,3));
  }
  else {
  if (att.numValues() != 2) 
  return ((m_Not ? ""!= "" : ""= "") + att.value((int)m_Split));
  else return (""= "" 
  + (m_Not ? att.value((int)m_Split == 0 ? 1 : 0) 
  : att.value((int)m_Split)));
  }
  }","/**
  * Gives a string representation of the test in Prolog notation, starting
  * from the comparison symbol.
  *
  * @return a string representing the test in Prolog notation
  */"
41,public DoubleVector dividedBy ( DoubleVector v ) { return copy().dividedByEquals( v ); },divided by another doublevector element by element,returns the result of dividing this vector by v,expvector divided product,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,,,,Consistent with Specific Info ,Missing Identifier,0,Consistent with Specific Info ,Consistent but Missing Specific Info,0,Consistent with Specific Info ,Missing Identifier,0,"public DoubleVector  dividedBy ( DoubleVector v ) {
  return copy().dividedByEquals( v );
  }","/** 
  *  Divided by another DoubleVector element by element
  *  @param v the second DoubleVector
  */"
42,public int getClassIndex() { return m_ClassIndex + 1; },get the index (starting from 1) of the attribute used as the class,returns the class index,get the constant pool index of the class that this class belongs to,returns the index of the constant pool index,,,,Consistent with Specific Info ,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent but Missing Specific Info,Consistent but Missing Specific Info,"public int getClassIndex() {

  return m_ClassIndex + 1;
  }","/**
  * Get the index (starting from 1) of the attribute used as the class.
  *
  * @return the index of the class attribute
  */"
43,"public String classifierTipText() { return ""the desired base learner for the ensemble.""; }",returns the tip text for this property,returns the classifier text,returns the text for the classifier,returns the text of the text,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,"public String classifierTipText() {
  return ""the desired base learner for the ensemble."";
  }","/**
  * Returns the tip text for this property
  * @return tip text for this property suitable for
  * displaying in the explorer/experimenter gui
b  */"
44,public double getRandomWidthFactor() { return m_RandomWidthFactor; },gets the multiplier when generating random codes will generate numclasses m_randomwidthfactor codes,returns the random width factor,returns the random width factor,returns the factor,,,,Focusing Only on Method Name ,Focusing Only on Method Name ,Missing Critical Information,Focusing Only on Method Name ,Focusing Only on Method Name ,Missing Identifier,Focusing Only on Method Name ,Focusing Only on Method Name ,Missing Identifier,"public double getRandomWidthFactor() {

  return m_RandomWidthFactor;
  }","/**
  * Gets the multiplier when generating random codes. Will generate
  * numClasses * m_RandomWidthFactor codes.
  *
  * @return the width multiplier
  */"
45,"public double getAttributeMax(int index) throws Exception { if (m_Max == null) { throw new Exception(""Maximum value for attribute not available!""); } return m_Max[index]; }",get an attributes maximum observed value,returns the maximum value of an attribute,returns the minimum value of an attribute,returns the maximum value for the specified var for the given var,,,,Consistent with Specific Info ,Algorithmically Incorrect,Repetition,Consistent with Specific Info ,Different Meaning,Incorrect Identifier/Attribute,Consistent with Specific Info ,Algorithmically Incorrect,Incorrect Identifier/Attribute,"public double getAttributeMax(int index) throws Exception {

if (m_Max == null) {
  throw new Exception(""Maximum value for attribute not available!"");
}
return m_Max[index];
  }","/**
  * Get an attributes maximum observed value
  */"
46,"public String graph() throws Exception { StringBuffer text = new StringBuffer(); text.append(""digraph M5Tree {\n""); Rule temp = (Rule)m_ruleSet.elementAt(0); temp.m_topOfTree.graph(text); text.append(""}\n""); return text.toString(); }",return a dot style string describing the tree,print out the graph,converts a set of rules into string,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,,,,Partial Incorrect Information,Missing Critical Information,0,Partial Incorrect Information,Consistent but Missing Specific Info,0,Partial Incorrect Information,Missing Critical Information,0,"public String graph() throws Exception {
  StringBuffer text = new StringBuffer();
  
  text.append(""digraph M5Tree {\n"");
  Rule temp = (Rule)m_ruleSet.elementAt(0);
  temp.m_topOfTree.graph(text);
  text.append(""}\n"");
  return text.toString();
  }","/**
  * Return a dot style String describing the tree.
  *
  * @return a <code>String</code> value
  * @exception Exception if an error occurs
  */"
47,private int numParameters() { return m_numParameters; },get the number of parameters in the model at this node,returns the number of parameters,returns the number of parameters,returns the number of parameters,,,,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,Consistent with Specific Info ,"private int numParameters() {
  return m_numParameters;
  }","/**
  * Get the number of parameters in the model at this node
  *
  * @return the number of parameters in the model at this node
  */"
48,public void settempdirpath(string tempdirpath) { m_tempdirpath = tempdirpath; },set the path for the temporary files,sets the tempdirpath,sets the temporary dir path,sets the directory path to the directory,,,,Consistent with Specific Info ,Consistent with Specific Info ,Repetition,Consistent with Specific Info ,Consistent with Specific Info ,Missing Identifier,Consistent with Specific Info ,Consistent with Specific Info ,Missing Identifier,"public void setTempDirPath(String tempDirPath) {
  m_tempDirPath = tempDirPath;
  }","/** Set the path for the temporary files
  * @param tempDirPath a full path to the temporary directory
  */"
49,public void printallmodels() { if (m_isleaf) { system.out.println(m_nodemodel.tostring()); } else { system.out.println(m_nodemodel.tostring()); m_left.printallmodels(); m_right.printallmodels(); } },print all the linear models at the learf (debugging purposes),prints all the models,prints all the models in the console,prints all the nodes in the model,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Partial Incorrect Information,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Partial Incorrect Information,"public void printAllModels() {
  if (m_isLeaf) {
  System.out.println(m_nodeModel.toString());
  } else {
  System.out.println(m_nodeModel.toString());
  m_left.printAllModels();
  m_right.printAllModels();
  } 
  }","/**
  * Print all the linear models at the learf (debugging purposes)
  */"
