,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,code2seq Predictions,Raw_Methods,Ground_Truth,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Comments - CodeBERT(Person3),Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories)
38,synchronized public void addReplicas(Collection hosts) { hosts.remove(mLocalHost); super.addReplicas(hosts); },adds the delivered hosts to the replicas,add a collection of hosts to the cluster,add a new hosts to the set of hosts for this web application,adds a new var to the list of var s,"synchronized public void addReplicas(Collection hosts) {
  hosts.remove(mLocalHost);
  super.addReplicas(hosts);
  }","/**
   * Adds the delivered hosts to the replicas.
   *
   * @param hosts the new hosts.
   */",,,,Consistent but Missing Specific Info,Unnecessary Incorrect Information,Failed to mention identifiers,Partial Incorrect Information,Partial Incorrect Information,Different Meaning,Partial Incorrect Information,Unnecessary Incorrect Information,Different Meaning
39,private void setupTextFiles() { m_products.createTextFile(); m_customers.createTextFile(); },sets up all text files for the test database,create the text files,setup the text file,setup the text to be used for the user,"private void setupTextFiles() {
 

  m_products.createTextFile();
  m_customers.createTextFile();
  }","/** sets up all text files for the test database
  */",,,,Missing Non-Critical Information,Missing Non-Critical Information,Missing Non-Critical Information,Missing Database information,Missing Database information,Repetition,Missing Database information,Missing Database information,Repetition
40,public File canonicalFile(File f) throws IOException { return new File(f.getCanonicalPath()); },"retrieves the canonical file for the given file, in a jdk 11 complaint way",converts a file into a canonical form,returns a file object representing the canonical form of the given file,returns a file to the file,"public File canonicalFile(File f) throws IOException {
  return new File(f.getCanonicalPath());
  }","/**
  * Retrieves the canonical file for the given file, in a
  * JDK 1.1 complaint way.
  *
  * @param f the File for which to retrieve the absolute File
  * @return the canonical File
  */",,,,Consistent but Missing Specific Info,Improves upon Semantic Meaning ,Repetition,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition,Consistent but Missing Specific Info,Improves upon Semantic Meaning ,Incomplete Sentence
41,final public String getRelatedPropertyType() { return relatedPropertyType;,get relatedpropertytype,gets the value of the relatedpropertytype property,returns the related property type,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"final public String getRelatedPropertyType() {
  return relatedPropertyType;
  } // end getRelatedPropertyType()","/**
  * Get RelatedPropertyType
  *
  * @return relatedPropertyType
  */",,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,0,Missing Non-Critical Information,Consistent but Missing Specific Info,0,Consistent but Missing Specific Info,Consistent but Missing Specific Info,0
42,"public double isPathToWaterUnit(Point a, Point b) { return isPath(a, b, new Character[]{WargusStateImporter.TERRAIN_WATER}); }",path helpers which return distance of the shortest path between a and b or a negative number if no path exists,gets the path to a given point,returns true if two chessboard squares are } to the same,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public double isPathToWaterUnit(Point a, Point b) {
  return isPath(a, b, new Character[]{WargusStateImporter.TERRAIN_WATER});
  }","/**
   * Path helpers which return distance of the shortest path between a and b
   * or a negative number if no path exists.
   * 
   * @param a
   * @param b
   * @return distance of path or negative number if no path
   */",,,,Different Meaning,Partial Incorrect Information,0,Different Meaning,Partial Incorrect Information,0,Different Meaning,Partial Incorrect Information,0
43,public void closeConnection() { if (!open) { return; } messageAreaOut.removeKeyListener(keyHandler); if (sPort != null) { try { os.close(); is.close(); } catch (IOException e) { System.err.println(e); } sPort.close(); portId.removePortOwnershipListener(this); } open = false; },close the port and clean up associated elements,closes the connection,close the message listener,closes the connection and port and remove them,"public void closeConnection() {
  // If port is alread closed just return.
  if (!open) {
  return;
  }
 

  // Remove the key listener.
  messageAreaOut.removeKeyListener(keyHandler);
 

  // Check to make sure sPort has reference to avoid a NPE.
  if (sPort != null) {
  try {
  // close the i/o streams.
  os.close();
  is.close();
  } catch (IOException e) {
  System.err.println(e);
  }
 

  // Close the port.
  sPort.close();
 

  // Remove the ownership listener.
  portId.removePortOwnershipListener(this);
  }
 

  open = false;
  }","/**
   Close the port and clean up associated elements.
   */",Missing task elaboration,Missing Attribute Specification,Consistent with Specific Info ,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Partial Incorrect Information,Missing task elaboration,Missing Attribute Specification,Consistent with Specific Info 
44,public NamespaceFragmentRoot getNamespaceFragmentRoot() { return (NamespaceFragmentRoot) getAncestor(IPHPElement.0MESPACE_FRAGMENT_ROOT); },find enclosing package fragment root if any,get the root namespace fragment root,returns the namespace fragment root,returns the root root of the,"public NamespaceFragmentRoot getNamespaceFragmentRoot() {
  return (NamespaceFragmentRoot) getAncestor(IPHPElement.0MESPACE_FRAGMENT_ROOT);
  }","/**
   * Find enclosing package fragment root if any
   */",Missing Attribute Specification,Missing Attribute Specification,Repetition,,,,Missing Non-Critical Information,Missing Non-Critical Information,Repetition,Missing Attribute Specification,Missing Attribute Specification,Repetition
45,public float getSeparation() { return separation; },get the seperation between bodies,gets the separation,returns the },gets the,"public float getSeparation() {
  return separation;
  }","/**
   * Get the seperation between bodies
   * 
   * @return The seperation between bodies
   */",Missing Critical Information,Incomplete Sentence,Incomplete Sentence,,,,Missing Non-Critical Information,Missing Syntax Information,Missing Identifier,Missing Critical Information,Missing Syntax Information,Missing Identifier
46,"protected void processThumbnailStarted(int imageIndex, int thumbnailIndex) { if (progressListeners != null) { for (IIOWriteProgressListener listener : progressListeners) { listener.thumbnailStarted(this, imageIndex, thumbnailIndex); } } }",processes the start of a thumbnail read by calling thumbnailstarted method of registered iiowriteprogresslisteners,process the thumbnailstarted event,called when a user clicks on the },called when a new var has been started,"protected void processThumbnailStarted(int imageIndex, int thumbnailIndex) {
  if (progressListeners != null) {
  for (IIOWriteProgressListener listener : progressListeners) {
  listener.thumbnailStarted(this, imageIndex, thumbnailIndex);
  }
  }
  }","/**
  * Processes the start of a thumbnail read by calling thumbnailStarted
  * method of registered IIOWriteProgressListeners.
  * 
  * @param imageIndex
  * the image index.
  * @param thumbnailIndex
  * the thumbnail index.
  */",Missing Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code,,,,Missing Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code
47,"public void setPixel(int x, int y, int iArray[]) { sampleModel.setPixel(x - sampleModelTranslateX, y - sampleModelTranslateY, iArray, dataBuffer); }",sets an integer array of samples for the specified pixel in this writableraster,sets the pixel at the specified location an arrayindexoutofboundsexception may be thrown if the coordinates are not in bounds,"sets the pixel in the default rgb coordinate in the default rgb coordinate system, for a single sample of type transfertype",set the pi var el pi var el pi var el pi var el pi var el,"public void setPixel(int x, int y, int iArray[]) {
  sampleModel.setPixel(x - sampleModelTranslateX, y - sampleModelTranslateY, iArray,
  dataBuffer);
  }","/**
  * Sets an integer array of samples for the specified pixel in this
  * WritableRaster.
  * 
  * @param x
  * the pixel's X coordinate.
  * @param y
  * the pixel's Y coordinate.
  * @param iArray
  * the integer array of samples.
  */",Unnecessary Data Structure Information,Consistent but Missing Specific Info,Repetition,,,,Semantically Unrelated to Code,Missing Non-Critical Information,Repetition,Unnecessary Data Structure Information,Missing Non-Critical Information,Repetition
48,"public byte getByte(String key) { unparcel(); return getByte(key, (byte) 0); }","returns the value associated with the given key, or (byte) 0 if no mapping of the desired type exists for the given key",get a byte associated with the given configuration key,returns the value for the key as a boolean,get the byte value of the given var as a byte if the var is not a byte returns the var is null,"public byte getByte(String key) {
  unparcel();
  return getByte(key, (byte) 0);
  }","/**
  * Returns the value associated with the given key, or (byte) 0 if
  * no mapping of the desired type exists for the given key.
  *
  * @param key a String
  * @return a byte value
  */",Missing Non-Critical Information,Missing Non-Critical Information,Missing Attribute Specification,,,,Missing Non-Critical Information,Partial Incorrect Information,Repetition,Missing Non-Critical Information,Missing Non-Critical Information,Repetition
49,public long getNtpTimeReference() { return mNtpTimeReference; },returns the reference clock value (value of systemclockelapsedrealtime()) corresponding to the ntp time,returns the ntp timereference,returns the time the agent has been assigned to,returns the time the reference was created,"public long getNtpTimeReference() {
  return mNtpTimeReference;
  }","/**
  * Returns the reference clock value (value of SystemClock.elapsedRealtime())
  * corresponding to the NTP time.
  *
  * @return reference clock corresponding to the NTP time.
  */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Algorithmically Incorrect,,,,Consistent but Missing Specific Info,Semantically Unrelated to Code,Unnecessary Incorrect Information,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Unnecessary Incorrect Information
50,private void didReceiveIcon(Bitmap icon) { mCallbackProxy.onReceivedIcon(icon); },send the icon to the activity for display,handle a received icon,called when a new receive is received,called when a new icon is received,"private void didReceiveIcon(Bitmap icon) {
  mCallbackProxy.onReceivedIcon(icon);
  }","/**
  * Send the icon to the activity for display.
  * @param icon A Bitmap representing a page's favicon.
  */",Missing Critical Information,Incorrect Identifier/Attribute,Missing Critical Information,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Critical Information,Incorrect Identifier/Attribute,Missing Critical Information
51,public void goBack() { goBackOrForward(-1); },go back in the history of this webview,navigates to the previous page,displays the back dialog,back back to the previous page,"public void goBack() {
  goBackOrForward(-1);
  }","/**
  * Go back in the history of this WebView.
  */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Repetition,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition
52,public boolean hasFormData() { synchronized (mFormLock) { return hasEntries(TABLE_FORMURL_ID); } },find out if there is form data saved,returns true if the formurl_id has been set,returns whether it has the form data,returns whether it has the data,"public boolean hasFormData() {
  synchronized (mFormLock) {
  return hasEntries(TABLE_FORMURL_ID);
  }
  }","/**
  * Find out if there is form data saved.
  *
  * @return TRUE if there is form data in the database
  */",Algorithmically Incorrect,Consistent with Specific Info ,Consistent but Missing Specific Info,,,,Consistent but Missing Specific Info,Missing Non-Critical Information,Failed to mention identifiers,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent but Missing Specific Info
53,public boolean isInputViewShown() { return mIsInputViewShown && mWindowVisible; },return whether the soft input view is currently shown to the user this is the state that was last determined and applied by },checks if the input view is currently visible,returns true if the specified view is to be displayed,returns whether the view is visible,"public boolean isInputViewShown() {
  return mIsInputViewShown && mWindowVisible;
  }","/**
  * Return whether the soft input view is <em>currently</em> shown to the
  * user. This is the state that was last determined and
  * applied by {@link #updateInputViewShown()}.
  */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent but Missing Specific Info,,,,Missing Non-Critical Information,Missing Non-Critical Information,Missing Identifier,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Consistent but Missing Specific Info
54,"public long insert(String table, String nullColumnHack, ContentValues values) { try { return insertWithOnConflict(table, nullColumnHack, values, null); } catch (SQLException e) { Log.e(TAG, ""Error inserting "" + values, e); return -1; } }",convenience method for inserting a row into the database,inserts a new record into the database,inserts the given value into the cache,inserts a new var into the database,"public long insert(String table, String nullColumnHack, ContentValues values) {
  try {
  return insertWithOnConflict(table, nullColumnHack, values, null);
  } catch (SQLException e) {
  Log.e(TAG, ""Error inserting "" + values, e);
  return -1;
  }
  }","/**
  * Convenience method for inserting a row into the database.
  *
  * @param table the table to insert the row into
  * @param nullColumnHack SQL doesn't allow inserting a completely empty row,
  * so if initialValues is empty this column will explicitly be
  * assigned a NULL value
  * @param values this map contains the initial column values for the
  * row. The keys should be the column names and the values the
  * column values
  * @return the row ID of the newly inserted row, or -1 if an error occurred
  */",Consistent with Specific Info ,Algorithmically Incorrect,Missing Attribute Specification,,,,Consistent but Missing Specific Info,Missing Database information,Missing Non-Critical Information,Consistent with Specific Info ,Missing Database information,Missing Attribute Specification
55,public Builder setTitle(int titleId) { P.mTitle = P.mContext.getText(titleId); return this; },set the title using the given resource id,sets the title,sets the title of the title,sets the title of the var,"public Builder setTitle(int titleId) {
  P.mTitle = P.mContext.getText(titleId);
  return this;
  }","/**
  * Set the title using the given resource id.
  *
  * @return This Builder object to allow for chaining of calls to set methods
  */",Missing Non-Critical Information,Repetition,Missing Attribute Specification,,,,Missing Non-Critical Information,Repetition,Missing Identifier,Missing Non-Critical Information,Repetition,Missing Attribute Specification
56,public void callApplicationOnCreate(Application app) { app.onCreate(); },perform calling of the application's method the default implementation simply calls through to that method,called when an application is created,calls the } on the ui thread,create an application var,"public void callApplicationOnCreate(Application app) {
  app.onCreate();
  }","/**
  * Perform calling of the application's {@link Application#onCreate}
  * method. The default implementation simply calls through to that method.
  * 
  * @param app The application being created.
  */",Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Semantically Unrelated to Code,,,,Partial Incorrect Information,Semantically Unrelated to Code,Missing Identifier,Consistent but Missing Specific Info,Semantically Unrelated to Code,Missing Identifier
57,public boolean containsKey(String key) { return mValues.containsKey(key); },returns true if this object has the named value,returns true if the map contains the specified key,checks whether the given key is contained in this collection,returns true if the given var is in the map,"public boolean containsKey(String key) {
  return mValues.containsKey(key);
  }","/**
  * Returns true if this object has the named value.
  *
  * @param key the value to check for
  * @return {@code true} if the value is present, {@code false} otherwise 
  */",Consistent with Specific Info ,Consistent with Specific Info ,Missing Attribute Specification,,,,Missing Identifier,Missing Identifier,Missing Non-Critical Information,Missing Identifier,Consistent with Specific Info ,Missing Attribute Specification
58,"public void setListenForNetworkTickles(boolean flag) { Settings.setListenForNetworkTickles(mContentResolver, flag); }",set whether or not the device should listen for tickles,enables or disables dependency checking,set whether or not the network send } for network discovery,set the to be used for the and,"public void setListenForNetworkTickles(boolean flag) {
  Settings.setListenForNetworkTickles(mContentResolver, flag);
  }","/**
  * Set whether or not the device should listen for tickles.
  *
  * @param flag true if it should listen.
  */",Algorithmically Incorrect,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Non-Critical Information,Missing Identifier,Semantically Unrelated to Code,,,,Missing Non-Critical Information,Missing Identifier,Semantically Unrelated to Code
59,public CharSequence getSummaryOff() { return mSummaryOff; },returns the summary to be shown when unchecked,returns the summary off,returns the currently enabled },returns the current text for the current record,"public CharSequence getSummaryOff() {
  return mSummaryOff;
  }","/**
  * Returns the summary to be shown when unchecked.
  * @return The summary.
  */",Incomplete Sentence,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Non-Critical Information,Missing Identifier,Semantically Unrelated to Code,,,,Incomplete Sentence,Semantically Unrelated to Code,Semantically Unrelated to Code
60,"public void moveTo(float x, float y) { mPath.moveTo(mLastX = x, mLastY = y); }","set the beginning of the next contour to the point (x,y)",description of the method,moves the location of the object,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void moveTo(float x, float y) {
  mPath.moveTo(mLastX = x, mLastY = y);
  }","/**
  * Set the beginning of the next contour to the point (x,y).
  *
  * @param x The x-coordinate of the start of a new contour
  * @param y The y-coordinate of the start of a new contour
  */",Semantically Unrelated to Code,Missing Attribute Specification,0,Focusing Only on Method Name ,Improves upon Semantic Meaning ,0,,,,Focusing Only on Method Name ,Improves upon Semantic Meaning ,0
61,"public void adjustStreamVolume(int streamType, int direction, int flags) { IAudioService service = getService(); try { service.adjustStreamVolume(streamType, direction, flags); } catch (RemoteException e) { Log.e(TAG, ""Dead object in adjustStreamVolume"", e); } }",adjusts the volume of a particular stream by one step in a direction,adjust the stream volume,adjusts the volume of the stream,adjusts the volume of a var,"public void adjustStreamVolume(int streamType, int direction, int flags) {
  IAudioService service = getService();
  try {
  service.adjustStreamVolume(streamType, direction, flags);
  } catch (RemoteException e) {
  Log.e(TAG, ""Dead object in adjustStreamVolume"", e);
  }
  }","/**
  * Adjusts the volume of a particular stream by one step in a direction.
  *
  * @param streamType The stream type to adjust. One of {@link #STREAM_VOICE_CALL},
  * {@link #STREAM_SYSTEM}, {@link #STREAM_RING}, {@link #STREAM_MUSIC} or
  * {@link #STREAM_ALARM}
  * @param direction The direction to adjust the volume. One of
  * {@link #ADJUST_LOWER}, {@link #ADJUST_RAISE}, or
  * {@link #ADJUST_SAME}.
  * @param flags One or more flags.
  * @see #adjustVolume(int, int)
  * @see #setStreamVolume(int, int, int)
  */",Missing Non-Critical Information,Missing Non-Critical Information,Missing Attribute Specification,Missing Non-Critical Information,Missing Non-Critical Information,Failed to mention identifiers,,,,Missing Non-Critical Information,Missing Non-Critical Information,Failed to mention identifiers
62,"public void setVibrateSetting(int vibrateType, int vibrateSetting) { IAudioService service = getService(); try { service.setVibrateSetting(vibrateType, vibrateSetting); } catch (RemoteException e) { Log.e(TAG, ""Dead object in setVibrateSetting"", e); } }",sets the setting for when the vibrate type should vibrate,sets the vibrate setting,sets the service type for the given vibrate,sets the var of the var,"public void setVibrateSetting(int vibrateType, int vibrateSetting) {
  IAudioService service = getService();
  try {
  service.setVibrateSetting(vibrateType, vibrateSetting);
  } catch (RemoteException e) {
  Log.e(TAG, ""Dead object in setVibrateSetting"", e);
  }
  }","/**
  * Sets the setting for when the vibrate type should vibrate.
  *
  * @param vibrateType The type of vibrate. One of
  * {@link #VIBRATE_TYPE_NOTIFICATION} or
  * {@link #VIBRATE_TYPE_RINGER}.
  * @param vibrateSetting The vibrate setting, one of
  * {@link #VIBRATE_SETTING_ON},
  * {@link #VIBRATE_SETTING_OFF}, or
  * {@link #VIBRATE_SETTING_ONLY_SILENT}.
  * @see #getVibrateSetting(int)
  * @see #shouldVibrate(int)
  */",Missing Non-Critical Information,Missing Attribute Specification,Failed to mention identifiers,Missing Non-Critical Information,Improves upon Semantic Meaning ,Failed to mention identifiers,,,,Missing Non-Critical Information,Improves upon Semantic Meaning ,Failed to mention identifiers
63,public void setPath(Path path) { mPath = path.toString(); },"sets the value of the ""path"" attribute",sets the path,sets the path,sets the path to the path of the path are not relative to the path of the path,"public void setPath(Path path) {
  mPath = path.toString();
  }","/**
  * Sets the value of the ""path"" attribute.
  * @param path the value.
  */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Extreme Repetition ,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Extreme Repetition ,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Extreme Repetition 
64,public void setListener(ICustomViewDescriptorListener listener) { mListener = listener; },sets the listener receiving custom view class modification notifications,sets the custom view listener,sets the listener to be notified of the view change events,sets the listener to be used for the,"public void setListener(ICustomViewDescriptorListener listener) {
  mListener = listener;
  }","/**
  * Sets the listener receiving custom View class modification notifications.
  * @param listener the listener to receive the notifications.
  *
  * TODO will be used to update the ElementDescriptor of the custom view when it
  * is modified (either the class itself or its attributes.xml)
  */",Missing task elaboration,Consistent with Specific Info ,Incomplete Sentence,Consistent but Missing Specific Info,Improves upon Semantic Meaning ,Different Meaning,,,,Consistent but Missing Specific Info,Improves upon Semantic Meaning ,Incomplete Sentence
65,public Node deleteXmlNode() { if (mXmlNode == null) { return null; } Node old_xml_node = mXmlNode; clearContent(); Node xml_parent = old_xml_node.getParentNode(); if (xml_parent == null) { xml_parent = getXmlDocument(); } old_xml_node = xml_parent.removeChild(old_xml_node); invokeUiUpdateListeners(UiUpdateState.DELETED); return old_xml_node; },"removes the xml node corresponding to this ui node if it exists and also removes all mirrored information in this ui node (ie children, attributes)",delete the xml node from the model,delete the xml node from the underlying dom node,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public Node deleteXmlNode() {
  if (mXmlNode == null) {
  return null;
  }
 

  // First clear the internals of the node and *then* actually deletes the XML
  // node (because doing so will generate an update even and this node may be
  // revisited via loadFromXmlNode).
  Node old_xml_node = mXmlNode;
  clearContent();
  
  Node xml_parent = old_xml_node.getParentNode();
  if (xml_parent == null) {
  xml_parent = getXmlDocument();
  }
  old_xml_node = xml_parent.removeChild(old_xml_node);
 

  invokeUiUpdateListeners(UiUpdateState.DELETED);
  return old_xml_node;
  }","/**
  * Removes the XML node corresponding to this UI node if it exists
  * and also removes all mirrored information in this UI node (i.e. children, attributes)
  * 
  * @return The removed node or null if it didn't exist in the firtst place. 
  */",Missing task elaboration,Missing task elaboration,0,Missing Non-Critical Information,Missing Non-Critical Information,0,,,,Missing task elaboration,Missing task elaboration,0
66,public String getJavaDoc() { return mJavaDoc; },"returns a short javadoc, ie the first sentence",returns the java doc,the java source code,set the java doc var,"public String getJavaDoc() {
  return mJavaDoc;
  }","/** Returns a short javadoc, .i.e. the first sentence. */",Consistent but Missing Specific Info,Incomplete Sentence,Algorithmically Incorrect,Consistent with Specific Info ,Unnecessary file information,Different Meaning,,,,Consistent but Missing Specific Info,Incomplete Sentence,Algorithmically Incorrect
67,public void setJavaDoc(String javaDoc) { mJavaDoc = javaDoc; },"sets a short javadoc, ie the first sentence",sets the javadoc,set the java doc,set the java doc var,"public void setJavaDoc(String javaDoc) {
  mJavaDoc = javaDoc;
  }","/** Sets a short javadoc, .i.e. the first sentence. */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Algorithmically Incorrect,Consistent with Specific Info ,Consistent with Specific Info ,Unnecessary Data Structure Information,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Algorithmically Incorrect
68,"public void setMethodName(String className, String testName) { setClassName(className + METHOD_SEPARATOR + testName); }",sets to run only specified test method must be called before 'run',sets the method name,sets the name of the method that (allegedly) issued the logging request,sets the name of the method,"public void setMethodName(String className, String testName) {
  setClassName(className + METHOD_SEPARATOR + testName);
  }","/**
  * Sets to run only specified test method
  * Must be called before 'run'.
  * 
  * @param className fully qualified class name (eg x.y.z)
  * @param testName method name
  */",Missing Attribute Specification,Unnecessary file information,Missing Attribute Specification,Missing Non-Critical Information,Unnecessary Incorrect Information,Missing Non-Critical Information,,,,Missing Attribute Specification,Unnecessary file information,Missing Attribute Specification
69,public BackingStoreException (String s) { super(s); },constructs a new instance with a detailed exception message,create the exception,create the exception,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public BackingStoreException (String s) {
  super(s);
  }","/**
  * Constructs a new {@code BackingStoreException} instance with a detailed exception
  * message.
  * 
  * @param s
  * the detailed exception message.
  * @since Android 1.0
  */",Missing Attribute Specification,Missing Attribute Specification,0,Missing Non-Critical Information,Missing Non-Critical Information,0,,,,Missing Non-Critical Information,Missing Non-Critical Information,0
70,public void checkCreateClassLoader() { checkPermission(RuntimePermission.permissionToCreateClassLoader); },checks whether the calling thread is allowed to create a class loader,check permission to create a classloader,check to create class loader,checks to see if the class is not supported,"public void checkCreateClassLoader() {
  checkPermission(RuntimePermission.permissionToCreateClassLoader);
  }","/**
  * Checks whether the calling thread is allowed to create a class loader.
  * 
  * @throws SecurityException
  *  if the calling thread is not allowed to create a class
  *  loader.
  * @since Android 1.0
  */",Consistent but Missing Specific Info,Missing Non-Critical Information,Semantically Unrelated to Code,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Different Meaning,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Different Meaning
71,"public StringBuilder append(CharSequence csq, int start, int end) { append0(csq, start, end); return this; }","appends the string representation of the specified subsequence of the if the is , then the string is used to extract the subsequence from",appends the specified character sequence to this sequence,appends the specified characters of the specified charsequence to this sequence the argument is appended to this sequence at the end of this sequence the length of this sequence increases by the length of the argument the length of this sequence increases by the length of the argument the length,app var s the var pecified character var var in the given var tring,"public StringBuilder append(CharSequence csq, int start, int end) {
  append0(csq, start, end);
  return this;
  }","/**
  * Appends the string representation of the specified subsequence of the
  * {@code CharSequence}. If the {@code CharSequence} is {@code null}, then
  * the string {@code ""null""} is used to extract the subsequence from.
  * 
  * @param csq
  * the {@code CharSequence} to append.
  * @param start
  * the beginning index.
  * @param end
  * the ending index.
  * @return this builder.
  * @throws IndexOutOfBoundsException
  *  if {@code start} or {@code end} are negative, {@code start}
  *  is greater than {@code end} or {@code end} is greater than
  *  the length of {@code csq}.
  * @since Android 1.0
  */",Missing Attribute Specification,Extreme Repetition ,Extreme Repetition ,Consistent with Specific Info ,Extreme Repetition ,Repetition,,,,Consistent with Specific Info ,Extreme Repetition ,Repetition
72,public boolean contains(CharSequence cs) { if (cs == null) { throw new NullPointerException(); } return indexOf(cs.toString()) >= 0; },determines if this contains the sequence of characters in the passed,returns true if this set contains the specified character,removes the specified charsequence from this },returns true if the given sequence is contained in this sequence is,"public boolean contains(CharSequence cs) {
  if (cs == null) {
  throw new NullPointerException();
  }
  return indexOf(cs.toString()) >= 0;
  }","/**
  * Determines if this {@code String} contains the sequence of characters in
  * the {@code CharSequence} passed.
  * 
  * @param cs
  * the character sequence to search for.
  * @return {@code true} if the sequence of characters are contained in this
  *  string, otherwise {@code false}.
  * @since Android 1.0
  */",Algorithmically Incorrect,Incorrect Identifier/Attribute,Unnecessary Incorrect Information,Consistent with Specific Info ,Failed to mention identifiers,Grammatical Errors ,,,,Consistent with Specific Info ,Failed to mention identifiers,Unnecessary Incorrect Information
73,public GeneralName getBase() { return base; },returns the value of base field of the structure,gets the base,gets the value of the base property,returns the base name,"public GeneralName getBase() {
  return base;
  }","/**
  * Returns the value of base field of the structure.
  * @return base
  */",,,,Consistent with Specific Info ,Improves upon Semantic Meaning ,Consistent with Specific Info ,Missing Non-Critical Information,Missing Non-Critical Information,Missing Non-Critical Information,Consistent with Specific Info ,Improves upon Semantic Meaning ,Consistent with Specific Info 
74,"public void testSubmitNPE2() { ExecutorService e = Executors.newCachedThreadPool(); ExecutorCompletionService ecs = new ExecutorCompletionService(e); try { Runnable r = null; ecs.submit(r, Boolean.TRUE); shouldThrow(); } catch (NullPointerException success) { } finally { joinPool(e); } }",submitting a null runnable throws npe,a unit test for junit,tests if the join is executed properly,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void testSubmitNPE2() {
  ExecutorService e = Executors.newCachedThreadPool();
  ExecutorCompletionService ecs = new ExecutorCompletionService(e);
  try {
  Runnable r = null;
  ecs.submit(r, Boolean.TRUE);
  shouldThrow();
  } catch (NullPointerException success) {
  } finally {
  joinPool(e);
  }
  }","/**
  * Submitting a null runnable throws NPE
  */",,,,Incorrect Identifier/Attribute,Consistent with Specific Info ,0,Semantically Unrelated to Code,Missing Critical Information,0,Incorrect Identifier/Attribute,Missing Critical Information,0
75,public void testToArray_BadArg() { try { PriorityBlockingQueue q = populatedQueue(SIZE); Object o[] = q.toArray(null); shouldThrow(); } catch(NullPointerException success){} },toarray(null) throws npe,test toarray(object,"tests if the priority queue can be empty, ie empty",test that the method argument is expected to be the same as the } method and the method is not,"public void testToArray_BadArg() {
  try {
  PriorityBlockingQueue q = populatedQueue(SIZE);
  Object o[] = q.toArray(null);
  shouldThrow();
  } catch(NullPointerException success){}
  }","/**
  * toArray(null) throws NPE
  */",,,,Incomplete Sentence,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Missing Exception,Missing Non-Critical Information,Semantically Unrelated to Code,Missing Exception,Consistent but Missing Specific Info,Semantically Unrelated to Code
76,public int getPacketBufferSize() { return SSLRecordProtocol.MAX_SSL_PACKET_SIZE; },gives the largest ssltls packet size one can expect for this concrete ssl session,returns the ssl buffer size in bytes,returns the size of the underlying socket,returns the number of packets that are sent to the client,"public int getPacketBufferSize() {
  return SSLRecordProtocol.MAX_SSL_PACKET_SIZE;
  }","/**
  * Gives the largest SSL/TLS packet size one can expect for this concrete
  * SSL session.
  * @return the largest packet size
  */",,,,Missing Critical Information,Missing Critical Information,Unnecessary Incorrect Information,Missing Non-Critical Information,Failed to mention identifiers,Semantically Unrelated to Code,Missing Critical Information,Missing Critical Information,Unnecessary Incorrect Information
